Comune	Pop.residente(01/01/2019)	Dens.demografica(ab/kmq)
Concesio	15697.00	821.60
Concorezzo	15706.00	1838.74
Confienza	1599.00	60.28
Copiano	1679.00	387.10
Corana	810.00	62.47
Corbetta	18420.00	979.40
Cormano	20178.00	4475.52
Corna Imagna	925.00	204.58
Cornalba	300.00	32.97
Cornale e Bastida	848.00	227.37
Cornaredo	20544.00	1855.26
Cornate d'Adda	10799.00	775.55
Cornegliano Laudense	2913.00	512.28
Corno Giovine	1129.00	115.02
Cornovecchio	213.00	32.61
Correzzana	3033.00	1207.10
Corrido	831.00	133.72
Corsico	34715.00	6482.55
Corte de' Cortesi con Cignone	1082.00	83.64
Corte de' Frati	1370.00	67.57
Corte Franca	7156.00	515.31
Corte Palasio	1516.00	98.04
Corteno Golgi	1953.00	23.75
Cortenova	1167.00	100.01
Cortenuova	1932.00	270.24
Corteolona e Genzone	2577.00	184.21
Corvino San Quirico	1022.00	234.85
Corzano	1423.00	114.26
Cosio Valtellino	5528.00	229.75
Costa de' Nobili	396.00	32.31
Costa di Mezzate	3391.00	645.99
Costa Masnaga	4782.00	861.34
Costa Serina	900.00	74.16
Costa Valle Imagna	576.00	139.36
Costa Volpino	9063.00	490.22
Covo	4109.00	315.82
Cozzo	372.00	20.90
Crandola Valsassina	257.00	28.05
Credaro	3497.00	1030.17
Credera Rubbiano	1572.00	112.89
Crema	34487.00	992.61
Cremella	1711.00	910.72
Cremenaga	813.00	179.08
Cremeno	1627.00	116.88
Cremia	677.00	66.58
Cremona	72680.00	1022.44
Cremosano	1753.00	305.66
Crespiatica	2298.00	325.09
Crosio della Valle	597.00	423.32
Crotta d'Adda	650.00	49.39
Cuasso al Monte	3593.00	223.25
Cucciago	3408.00	688.10
Cuggiono	8271.00	555.37
Cugliate-Fabiasco	3079.00	476.93
Cumignano sul Naviglio	437.00	66.43
Cunardo	2906.00	490.01
Cura Carpignano	4939.00	442.77
Curiglia con Monteviasco	167.00	16.12
Curno	7534.00	1609.78
Curtatone	14921.00	219.29
Cusago	4110.00	349.07
Cusano Milanino	18827.00	6098.96
